Id,Date,Open,High,Low,Close,Volume
1,1/9/2014,80.54,80.8,80.03,80.42,10839420
2,1/10/2014,80.59,80.89,80.2,80.3,8452355
3,1/13/2014,80.01,80.5,79.69,80.01,9366118
4,1/14/2014,80.06,80.92,80.02,80.87,8737186
5,1/15/2014,80.7,81.18,80.25,80.79,8223578
6,1/16/2014,80.65,80.83,80.26,80.56,11673888
7,1/17/2014,80.42,80.64,79.8,79.88,13633468
8,1/21/2014,80.59,80.72,79.54,80.18,13216873
9,1/22/2014,79.57,79.88,79.05,79.23,8455602
10,1/23/2014,78.71,78.97,78.12,78.24,12674650
11,1/24/2014,79.33,81.7,79.05,79.18,20190733
12,1/27/2014,79.24,79.3,78.42,78.47,10396538
13,1/28/2014,78.67,79.52,78.43,79.11,10061868
14,1/29/2014,78.8,78.8,77.38,77.64,13443126
15,1/30/2014,78.05,78.05,76.77,76.87,9462515
16,1/31/2014,76.03,77.19,75.26,76.62,12996679
17,2/3/2014,76.69,76.76,75.6,75.7,14304728
18,2/4/2014,76,76.39,75.4,76.09,15598441
19,2/5/2014,75.94,76.8,75.67,76.45,9734258
20,2/6/2014,76.53,76.99,76.48,76.9,7821991
21,2/7/2014,76.99,77.39,76.75,77.31,7301419
22,2/10/2014,77.43,78.09,77.19,78.03,8964308
23,2/11/2014,78.1,79.11,77.64,78.84,10516106
24,2/12/2014,78.13,78.53,77.06,77.49,11035220
25,2/13/2014,77.09,77.92,77,77.8,7422665
26,2/14/2014,77.69,79.75,77.25,79.4,10819496
27,2/18/2014,79.48,79.63,77.56,77.97,15763668
28,2/19/2014,77.64,78.96,77.55,78.14,8740119
29,2/20/2014,77.96,78.44,77.5,77.92,8275272
30,2/21/2014,78.05,78.89,77.91,77.97,8095885
31,2/24/2014,78.03,78.77,77.61,77.86,7838896
32,2/25/2014,77.73,78.31,77.4,78.12,8182444
33,2/26/2014,78.23,78.77,77.82,77.86,7772528
34,2/27/2014,77.77,78.23,77.56,78.19,6549833
35,2/28/2014,78.24,78.91,78.01,78.66,8489944
36,3/3/2014,78.26,78.41,77.35,77.48,8609593
37,3/4/2014,78.09,78.72,77.9,78.45,8306976
38,3/5/2014,78.32,78.41,77.55,77.82,8542659
39,3/6/2014,78.04,78.44,77.84,78.06,6475573
40,3/7/2014,78.41,78.6,78.11,78.38,5865449
41,3/10/2014,78.29,78.57,78.2,78.53,5233421
42,3/11/2014,78.59,79.39,78.57,78.95,6599692
43,3/12/2014,78.66,79.45,78.62,79.24,7470100
44,3/13/2014,79.32,79.76,79.19,79.19,9676644
45,3/14/2014,79.1,79.23,78.67,78.98,14850696
